icp_state,icp_county,icp_statecode,icp_statefips,icp_county_cod,fips,county_name,state_abbr,state,county_clipped,state_name,long_name,sumlev,region,division,county,crosswalk,region_name,division_name
Alabama,Autauga,41,1,10,1001,Autauga County,AL,1,Autauga,Alabama,Autauga County AL,50,3,6,1,3-6-1-1,South,East South Central
Alabama,Baldwin,41,1,30,1003,Baldwin County,AL,1,Baldwin,Alabama,Baldwin County AL,50,3,6,3,3-6-1-3,South,East South Central
Alabama,Barbour,41,1,50,1005,Barbour County,AL,1,Barbour,Alabama,Barbour County AL,50,3,6,5,3-6-1-5,South,East South Central
Alabama,Bibb,41,1,70,1007,Bibb County,AL,1,Bibb,Alabama,Bibb County AL,50,3,6,7,3-6-1-7,South,East South Central
Alabama,Blount,41,1,90,1009,Blount County,AL,1,Blount,Alabama,Blount County AL,50,3,6,9,3-6-1-9,South,East South Central
Alabama,Bullock,41,1,110,1011,Bullock County,AL,1,Bullock,Alabama,Bullock County AL,50,3,6,11,3-6-1-11,South,East South Central
Alabama,Butler,41,1,130,1013,Butler County,AL,1,Butler,Alabama,Butler County AL,50,3,6,13,3-6-1-13,South,East South Central
Alabama,Calhoun/Benton,41,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,Chambers,41,1,170,1017,Chambers County,AL,1,Chambers,Alabama,Chambers County AL,50,3,6,17,3-6-1-17,South,East South Central
Alabama,Cherokee,41,1,190,1019,Cherokee County,AL,1,Cherokee,Alabama,Cherokee County AL,50,3,6,19,3-6-1-19,South,East South Central
Alabama,Chilton/Baker,41,1,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,Choctaw,41,1,230,1023,Choctaw County,AL,1,Choctaw,Alabama,Choctaw County AL,50,3,6,23,3-6-1-23,South,East South Central
Alabama,Clarke,41,1,250,1025,Clarke County,AL,1,Clarke,Alabama,Clarke County AL,50,3,6,25,3-6-1-25,South,East South Central
Alabama,Clay,41,1,270,1027,Clay County,AL,1,Clay,Alabama,Clay County AL,50,3,6,27,3-6-1-27,South,East South Central
Alabama,Cleburne,41,1,290,1029,Cleburne County,AL,1,Cleburne,Alabama,Cleburne County AL,50,3,6,29,3-6-1-29,South,East South Central
