fips,county_name,state_abbr,state,county_clipped,state_name,long_name,sumlev,region,division,county,crosswalk,region_name,division_name,icp_state,icp_county,icp_statecode,icp_statefips,icp_county_cod
1015,Calhoun County,AL,1,Calhoun,Alabama,Calhoun County AL,50,3,6,15,3-6-1-15,South,East South Central,NA,NA,NA,NA,NA
1021,Chilton County,AL,1,Chilton,Alabama,Chilton County AL,50,3,6,21,3-6-1-21,South,East South Central,NA,NA,NA,NA,NA
1075,Lamar County,AL,1,Lamar,Alabama,Lamar County AL,50,3,6,75,3-6-1-75,South,East South Central,NA,NA,NA,NA,NA
1103,Morgan County,AL,1,Morgan,Alabama,Morgan County AL,50,3,6,103,3-6-1-103,South,East South Central,NA,NA,NA,NA,NA
1115,St. Clair County,AL,1,St. Clair,Alabama,St. Clair County AL,50,3,6,115,3-6-1-115,South,East South Central,NA,NA,NA,NA,NA
1133,Winston County,AL,1,Winston,Alabama,Winston County AL,50,3,6,133,3-6-1-133,South,East South Central,NA,NA,NA,NA,NA
2013,Aleutians East Borough,AK,2,Aleutians East,Alaska,Aleutians East Borough AK,50,4,9,13,4-9-2-13,West,Pacific,NA,NA,NA,NA,NA
2016,Aleutians West Census Area,AK,2,Aleutians West Census,Alaska,Aleutians West Census Area AK,50,4,9,16,4-9-2-16,West,Pacific,NA,NA,NA,NA,NA
2020,Anchorage Municipality,AK,2,Anchorage,Alaska,Anchorage Municipality AK,50,4,9,20,4-9-2-20,West,Pacific,NA,NA,NA,NA,NA
2050,Bethel Census Area,AK,2,Bethel Census,Alaska,Bethel Census Area AK,50,4,9,50,4-9-2-50,West,Pacific,NA,NA,NA,NA,NA
2060,Bristol Bay Borough,AK,2,Bristol Bay,Alaska,Bristol Bay Borough AK,50,4,9,60,4-9-2-60,West,Pacific,NA,NA,NA,NA,NA
2068,Denali Borough,AK,2,Denali,Alaska,Denali Borough AK,50,4,9,68,4-9-2-68,West,Pacific,NA,NA,NA,NA,NA
2070,Dillingham Census Area,AK,2,Dillingham Census,Alaska,Dillingham Census Area AK,50,4,9,70,4-9-2-70,West,Pacific,NA,NA,NA,NA,NA
2090,Fairbanks North Star Borough,AK,2,Fairbanks North Star,Alaska,Fairbanks North Star Borough AK,50,4,9,90,4-9-2-90,West,Pacific,NA,NA,NA,NA,NA
2100,Haines Borough,AK,2,Haines,Alaska,Haines Borough AK,50,4,9,100,4-9-2-100,West,Pacific,NA,NA,NA,NA,NA
2105,Hoonah-Angoon Census Area,AK,2,Hoonah-Angoon Census,Alaska,Hoonah-Angoon Census Area AK,50,4,9,105,4-9-2-105,West,Pacific,NA,NA,NA,NA,NA
2110,Juneau City and Borough,AK,2,Juneau and Borough,Alaska,Juneau City and Borough AK,50,4,9,110,4-9-2-110,West,Pacific,NA,NA,NA,NA,NA
2122,Kenai Peninsula Borough,AK,2,Kenai Peninsula,Alaska,Kenai Peninsula Borough AK,50,4,9,122,4-9-2-122,West,Pacific,NA,NA,NA,NA,NA
